Atlanta Hawks,#E13A3E,atl,black
Boston Celtics,#008348,bos,white
Brooklyn Nets,#061922,bkn,white
Charlotte Hornets,#1D1160,cha,white
Chicago Bulls,#CE1141,chi,black
Cleveland Cavaliers,#860038,cle,white
Dallas Mavericks,#007DC5,dal,white
Denver Nuggets,#4D90CD,den,black
Detroit Pistons,#ED174C,det,black
Golden State Warriors,#FDB927,gsw,black
Houston Rockets,#CE1141,hou,black
Indiana Pacers,#FFC633,ind,black
Los Angeles Clippers,#ED174C,lac,black
Los Angeles Lakers,#552582,lal,white
Memphis Grizzlies,#0F586C,mem,white
Miami Heat,#98002E,mia,black
Milwaukee Bucks,#00471B,mil,white
Minnesota Timberwolves,#005083,min,white
New Orleans Pelicans,#002B5C,nop,white
New York Knicks,#006BB6,nyk,white
Oklahoma City Thunder,#007DC3,okc,white
Orlando Magic,#007DC5,orl,white
Philadelphia Sixers,#007DC5,phi,black
Phoenix Suns,#E56020,phx,black
Portland Trail Blazers,#E03A3E,por,black
Sacramento Kings,#724C9F,sac,white
San Antonio Spurs,#BAC3C9,sas,black
Toronto Raptors,#CE1141,tor,black
Utah Jazz,#00471B,uta,white
Washington Wizards,#002B5C,was,white
